Date,Price,Open,High,Low,Vol.,Change %
01-01-2020,184.45,185.15,186.70,183.60,25970000.00,-0.38%
02-01-2020,193.75,185.00,194.70,184.60,57290000.00,5.04%
03-01-2020,191.10,192.90,195.65,189.25,47570000.00,-1.37%
06-01-2020,185.65,191.00,191.00,185.05,28620000.00,-2.85%
07-01-2020,184.70,187.00,189.40,182.30,35000000.00,-0.51%
08-01-2020,182.55,180.20,184.20,180.20,21860000.00,-1.16%
09-01-2020,192.00,184.85,192.75,184.25,40800000.00,5.18%
10-01-2020,196.35,192.00,199.00,190.00,60250000.00,2.27%
13-01-2020,196.25,194.75,197.75,191.40,40540000.00,-0.05%
14-01-2020,195.85,195.70,198.25,193.60,29870000.00,-0.20%
15-01-2020,200.35,195.00,201.70,194.00,38490000.00,2.30%
16-01-2020,197.55,199.50,200.60,196.90,28120000.00,-1.40%
17-01-2020,197.30,197.25,199.45,195.70,18200000.00,-0.13%
20-01-2020,195.00,198.00,201.45,194.30,28980000.00,-1.17%
21-01-2020,191.40,195.50,196.40,190.20,20860000.00,-1.85%
22-01-2020,185.60,191.95,192.50,184.25,32950000.00,-3.03%
23-01-2020,188.40,186.75,190.40,183.80,33030000.00,1.51%
24-01-2020,186.50,188.00,191.00,185.00,21790000.00,-1.01%
27-01-2020,182.20,185.70,186.90,180.85,30130000.00,-2.31%
28-01-2020,176.10,183.90,184.30,174.90,38280000.00,-3.35%
29-01-2020,188.05,178.80,188.90,178.55,61590000.00,6.79%
30-01-2020,186.20,190.95,192.55,184.25,70900000.00,-0.98%
31-01-2020,176.60,186.30,188.35,175.95,75620000.00,-5.16%
01-02-2020,165.60,175.00,178.70,163.80,42520000.00,-6.23%
03-02-2020,163.85,163.50,168.30,159.55,66620000.00,-1.06%
04-02-2020,165.70,166.55,168.60,161.20,49030000.00,1.13%
05-02-2020,183.75,167.40,184.95,166.60,92980000.00,10.89%
06-02-2020,178.85,182.00,183.40,175.75,61820000.00,-2.67%
07-02-2020,173.60,177.40,178.15,173.00,45200000.00,-2.94%
10-02-2020,168.90,173.20,173.20,168.00,33280000.00,-2.71%
11-02-2020,169.75,171.85,175.15,168.40,42870000.00,0.50%
12-02-2020,170.95,173.00,173.30,169.00,34620000.00,0.71%
13-02-2020,169.50,171.35,172.35,168.10,25050000.00,-0.85%
14-02-2020,169.10,172.00,176.20,168.30,56680000.00,-0.24%
17-02-2020,169.10,170.40,171.35,166.35,32890000.00,0.00%
18-02-2020,161.60,168.00,168.00,158.60,52740000.00,-4.44%
19-02-2020,158.05,162.85,164.60,153.05,78910000.00,-2.20%
20-02-2020,158.50,157.95,162.30,156.00,54330000.00,0.28%
24-02-2020,150.65,154.00,155.90,149.60,39710000.00,-4.95%
25-02-2020,149.90,152.20,153.40,147.45,52720000.00,-0.50%
26-02-2020,144.55,146.90,147.90,143.70,47610000.00,-3.57%
27-02-2020,145.25,144.15,146.75,141.10,51330000.00,0.48%
28-02-2020,128.95,138.85,139.60,127.05,94470000.00,-11.22%
02-03-2020,125.40,133.00,133.90,123.80,111590000.00,-2.75%
03-03-2020,130.35,127.50,131.40,125.25,86770000.00,3.95%
04-03-2020,126.20,129.60,129.60,120.55,97550000.00,-3.18%
05-03-2020,125.75,127.55,129.15,124.25,87800000.00,-0.36%
06-03-2020,114.20,115.00,117.30,112.80,83970000.00,-9.18%
